Nom du restaurant,Adresse,Commune,Détails,Type de commerce
Café Mic,15 quai de la Tournelle,Chessy,"À trente minutes de paris en transport en commun, le café mic accueille petits et grands et sert une cuisine d'inspiration italienne. Au cours du repas, les personnages de disney passent de table en table pour la plus grande joie des enfants. Au rez-de-chaussée, une terrasse couverte offre un joli...",Restaurant
La Petite Venise,15 quai de la Tournelle,Versailles,"Au coeur du domaine de versailles, la petite venise se situe entre le bassin d'apollon et le grand canal. Cet ancien hangar à bateau est devenu un ravissant restaurant italien. La cuisine d'inspiration transalpine évolue au fil des saisons. Dans une atmosphère bucolique, on se retrouve sur la...",Restaurant
Café Campana,15 quai de la Tournelle,Paris,"Le restaurant campana se trouve au cinquième étage du musée d'orsay, à la sortie de la galerie impressionniste. Dans un décor conçu par les frères campana, le lieu plonge les visiteurs dans une ambiance onirique, inspirée par le célèbre maître verrier du xixe sicle, Émile gallé. la carte offre une...",Restaurant
Le Grand Café d'Orléans,15 quai de la Tournelle,Versailles,"Au coeur du château de versailles, le grand café d'orléans propose une restauration rapide française, élaborée sur place. Les hôtes s'offrent une pause gourmande installés dans un décor historique. Il est possible d'emporter son repas dans les jardins du château. Les salons du grand café d'orléans...",Restaurant
Champeaux,15 quai de la Tournelle,Paris,"C'est au coeur des halles qu'alain ducasse ouvre sa brasserie contemporaine les champeaux. Les grands classiques de la cuisine de brasserie - dans un cadre moderne et industriel - y sont proposés. Avec son immense bar au centre du restaurant, le lieu accueille toute la journée. Dès les beaux jours,...",Restaurant
Spoon,15 quai de la Tournelle,Paris,"Installé dans le palais brongniart - l'ancienne bourse de paris - le spoon propose un voyage culinaire étonnant et épicé. les recettes sont inspirées par la cuisine de l'inde et du levant. Le décor coloré et ethnique, le grand comptoir en zinc et la cuisine ouverte sur la salle invitent au...",Restaurant
"ReminiSens, Restaurant - Théâtre",20 rue Baillet Reviron,Versailles,"À deux pas du château de versailles, réminisens restaurant - théâtre invite à un véritable voyage gastronomique hors du temps. Les menus inspirés de recettes des xviie et xviiie siècles, le service en costume, le décor et la musique baroque plongent les convives au temps des rois de france. Tout au...",Restaurant
Benoit Paris,20 rue Saint-Martin,Paris,À deux pas du centre pompidou - musée national d'art moderne - le restaurant benoit régale sa clientèle depuis 1912. Il est le premier bistrot parisien a décrocher une étoile au guide michelin. On vient ici pour déguster une cuisine traditionnelle de bistrot dans un cadre authentique et...,Restaurant
Restaurant Polpo,"53 Quai Charles Pasqua, adresse non v-eacute;rifi-eacute;e",Levallois Perret,,Restaurant
Bib et Guss,155 jardin de l'Arche,Nanterre,"Dans le quartier d'affaires de la défense, bib et guss restaurant et bar se situe au sein de l'une des plus grandes salles de spectacle d'europe : paris la défense aréna. Cette brasserie au décor contemporain accueille pour le déjeuner et le weekend, en fonction de la programmation musicale ou...",Restaurant
Au Pied de Cochon,6 rue Coquillière,Paris,"Au pied de cochon, restaurant incontournable du quartier des halles, est fondé en 1947. Il propose un service continu 7 jours sur 7 et 24 heures sur 24. Pour un petit déjeuner, un apéritif entre amis ou un dîner tardif, le lieu offre une cuisine française traditionnelle. La carte met à l'honneur...",Restaurant
Bateaux Parisiens,6 rue Coquillière,Paris 7e Arrondissement,"Au pied de la tour eiffel, les bateaux parisiens proposent d'embarquer tous les jours pour un déjeuner ou un diner croisière. Différentes formules aux tarifs variables sont disponibles. La clientèle, nationale et internationale, profite d'un repas au fil de l'eau à bord de bateaux entièrement...",Restaurant
Yacht Club,6 rue Coquillière,Chessy,"Le restaurant yacht club, situé au rez-de-chaussée de l'hôtel disney newport bay club, propose une cuisine à base de produits de la mer. Le chef concocte des recettes de la nouvelle-angleterre agrémentée d'une touche méditerranéenne. La décoration soignée plonge les clients dans un luxueux bateau....",Restaurant
Vedettes de Paris,6 rue Coquillière,Paris,"À quai (sur la terrasse-restaurant) ou sur un bateau navigant, la compagnie des vedettes de paris, propose d'agrémenter une balade sur la seine par un moment gourmand. En contemplant les prestigieux monuments et en écoutant les commentaires de guides-conférenciers expérimentés, les visiteurs optent...",Restaurant
Cucina,6 rue Coquillière,Paris,"Au coeur du quartier latin, à quelques pas de la cathédrale notre-dame de paris, le restaurant cucina est installé au rez-de-chaussée de la maison de la mutualité, lieu culturel et événementiel. Le chef décline les classiques de la cuisine italienne. L'endroit est lumineux et chaleureux, le...",Restaurant
Les Ombres Quai Branly,27 quai Branly,Paris,"Niché sur le toit-terrasse du musée du quai branly - jacques chirac, le restaurant les ombres propose une carte raffinée et originale qui revisite les classiques de la cuisine française. Pour le déjeuner, le lieu entièrement vitré et inondé d'une belle lumière offre une vue panoramique...",Restaurant
L'Entrecôte de Paris,29 rue de Marignan,Paris,"Au coeur des champs-Élysées, l'entrecôte de paris est un restaurant parisien traditionnel aux jolies nappes à carreaux rouge et blanc. Ouvert 7 jours sur 7, le lieu est réputé pour ses viandes. La sauce maison aux 17 ingrédients est l'un des secrets les mieux gardés de paris. Elle accompagne...",Restaurant
Paris En Scène,29 rue de Marignan,Paris,"La compagnie de croisières sur la seine paris en scène propose différents dîners-croisières à prix attractifs à bord de ses élégants bateaux vitrés. Assis dans de confortables fauteuils, les convives savourent un menu gourmand préparé à bord. La terrasse panoramique, sur le pont supérieur, et le...",Restaurant
Les Belles Plantes,47 rue Cuvier,Paris,"Au coeur du jardin des plantes, dans un cadre serein et verdoyant, le restaurant les belles plantes propose des recettes élaborées à base de produits de saison. Lorsque les beaux jours arrivent, on s'installe sur une agréable terrasse extérieure pour déjeuner ou simplement boire un verre. Il n'y a...",Restaurant
Bistrot Benoit,47 rue Cuvier,Paris,"À deux pas du centre pompidou, le restaurant benoit régale sa clientèle depuis 1912. Il est le premier bistrot parisien à décrocher une étoile au guide michelin. On vient ici pour déguster une cuisine traditionnelle de bistro dans un cadre authentique et confortable. Au premier étage, un salon...",Restaurant
Chez Marcus,32 grande rue,Milly la Forêt,Restaurant-pizzeria.,Restaurant
À table,"6, rue victor hugo",Pontoise,"Restaurant traditionnel, proposant également des brunch à certaines dates.",Restaurant
McDonald's,"6, rue victor hugo",Sartrouville,"Implanté en france depuis 1979, mcdonald's france compte aujourd'hui plus de 1380 restaurants et l'un d'entre eux est à sartrouville.",Restaurant
Restaurant Hong Kong Palace,1 rue du Bel-Air,Rueil Malmaison,"Cadre élégant, cuisine raffinée et accueil chaleureux.",Restaurant
Petit Bistrot de Pontoise,18 Rue de Gisors,Pontoise,Lucy bistro... est un restaurant traditionnel avec une cuisine simple et gourmande.,Restaurant
Le palais royal,"1, quai Eugène Turpin",Pontoise,"Le palais royal situé au coeur de la ville de pontoise vous fera voyager de l'autre côté de la méditerranée au travers d'une cuisine franco-marocaine pleine de saveurs pastilla, couscous ou encore tajines sont au menu pour le plus grand. Plaisir de tous.",Restaurant
Au Bon Laboureur,2 rue Grande,Bray sur Seine,"Bienvenue au restaurant de l'hôtel au bon laboureur, sélectionné par le guide gault et millau !",Restaurant
L'atelier,8/10 avenue Bernard Hirsch,Cergy,C'est avec passion et motivation que nous vous ferons découvrir notre restaurant.,Restaurant
Restaurant Noburu,8/10 avenue Bernard Hirsch,Bondoufle,Restaurant japonais,Restaurant
Les Rives de la Courtille,8/10 avenue Bernard Hirsch,Chatou,"Le restaurant « les rives de la courtille » situé sur les bords de seine, avec ses balcons, ses balustrades et ses bardages est une copie conforme des gares d'eau qui existaient sur l'île durant la seconde moitié du xix siècle.",Restaurant
Restaurant Le Chemin d'Himalaya,12/14 Cour Monseigneur Romero||Évry,Évry,Invitez-vous à la table des maharajas!,Restaurant
Hôtel Restaurant Campanile Les Ulis,10 avenue des Andes,Les Ulis,"Parfait pour vos séjours professionnels et culturels au sud-ouest de paris, notre hôtel est à 20 mn de la porte d'italie. Situé dans la za de courtaboeuf qui domine la vallée de chevreuse, il est idéal pour tous vos déplacements en région parisienne.",Restaurant
Las Brasas,22 Grande Rue,Morsang sur Seine,Notre restaurant vous fera découvrir des spécialités argentines et ibériques. Savourez des viandes d'exception et du poisson cuit à la braise,Restaurant
Restaurant Annapurna,64 allée des Champs Elysées||Courcouronnes,Évry,"Venez découvrir la culture, les saveurs et les traditions d'un pays d'exception situé entre l'inde et l'himalaya.",Restaurant
Restaurant MacDonald's,1-3 Rue Alcide De Gasperi||Courcouronnes,Évry-Courcouronnes,Fast food,Restaurant
Les Vignes Rouges,5 place de l'Eglise,Hérouville,"Situé en plein coeur d'hérouville-en-vexin, les vignes rouges renferment une véritable histoire. À 500 mètres du château-studio de michel magne, les murs de ce restaurant ont vu défiler elton john et david bowie.",Restaurant
Le Basilic,2 rue de la Boulangerie,Saint Denis,"Le restaurant “le basilic“ vous accueille face à la célèbre basilique cathédrale de saint-denis, monument incontournable du nord de paris. A l'intérieur ou en terrasse, installez vous dans une ambiance détendue.",Restaurant
Restaurant Le Mozaik,61 Rue Pierre Brosselette,Ris-Orangis,,Restaurant
Buffalo Grill,3 - 11 Avenue Gabriel Péri,Montesson,Les restaurants buffalo grill sont spécialisés dans les plats américains et proposent un menu complet typique d'un restaurant steakhouse.,Restaurant
MAO TAI,78 route de Mantes,Chambourcy,Le restaurant mao tai vous propose une formule buffet laissant un très large choix de plats cuisinés avec soin comme la soupe de coco ou le poulet en papillote. La carte vous réserve aussi des spécialités asiatiques que l'on ne trouve pas au buffet.,Restaurant
Restaurant Tokara,143 Route de l'Empereur,Rueil Malmaison,Le restaurant tokara vous propose de découvrir les différentes spécialités de la cuisine japonaise !,Restaurant
